event_id,origintime,magnitude,magnitude_source,max_mmi,latitude,longitude,depth_km,err_lat,err_lon,err_depth,err_origintime,state,county,status
9962,2019-01-21 11:07:34,1.6,OGS,None,35.91783333,-97.25516667,7.59,0.14,0.14,0.6,None,Oklahoma,Logan,Reviewed
9963,2019-01-22 10:48:00,2.2,OGS,None,36.50883333,-99.02816667,6.23,0.28,0.28,0.5,None,Oklahoma,Woodward,Reviewed
10452,2019-01-22 18:07:05,2.2,OGS,None,35.27416667,-97.87566667,6.79,0.21,0.21,0.4,None,Oklahoma,Grady,Reviewed
4956,2019-01-22 22:58:34,2.9,OGS,None,36.66916667,-95.37183333,0.0,0.64,0.64,0.5,None,Oklahoma,Rogers,Preliminary
9964,2019-01-23 11:44:48,1.9,OGS,None,34.68566667,-96.335,5.24,0.99,0.99,1.4,None,Oklahoma,Coal,Reviewed
9120,2019-01-23 14:45:19,1.5,OGS,None,35.269,-97.88183333,7.16,0.35,0.35,0.6,None,Oklahoma,Grady,Reviewed
9965,2019-01-23 20:16:36,1.6,OGS,None,36.2755,-97.64316667,6.37,0.28,0.28,0.7,None,Oklahoma,Garfield,Reviewed
4978,2019-01-23 21:02:26,2.4,OGS,None,36.20716667,-95.84133333,0.0,0.57,0.57,0.7,None,Oklahoma,Tulsa,Preliminary
4974,2019-01-23 21:04:52,2.4,OGS,None,34.7165,-96.352,0.0,0.57,0.57,0.4,None,Oklahoma,Coal,Preliminary
4976,2019-01-23 22:11:19,2.4,OGS,None,33.27435303,-97.90205383,1.4,1.67,2.35,1.89,0.28003417,Texas,Wise,Preliminary
9966,2019-01-24 02:54:52,1.1,OGS,None,36.0395,-97.4625,5.33,0.21,0.21,0.5,None,Oklahoma,Logan,Reviewed
9967,2019-01-24 07:31:43,1.6,OGS,None,34.9385,-97.31383333,3.3,0.35,0.35,0.8,None,Oklahoma,Cleveland,Reviewed
9968,2019-01-24 07:39:56,1.0,OGS,None,36.039,-97.2095,6.49,0.64,0.64,1.3,None,Oklahoma,Logan,Reviewed
9969,2019-01-24 09:30:22,1.4,OGS,None,36.20266667,-97.30583333,8.21,0.14,0.14,1.5,None,Oklahoma,Noble,Reviewed
9970,2019-01-24 11:56:25,2.2,OGS,None,34.06766667,-97.43283333,5.0,0.64,0.64,1.7,None,Oklahoma,Carter,Reviewed
9122,2019-01-24 14:27:28,1.4,OGS,None,35.28916667,-97.8835,5.04,0.49,0.49,0.8,None,Oklahoma,Grady,Reviewed
9972,2019-01-24 16:38:05,2.8,OGS,None,35.8615,-96.6915,6.45,0.14,0.14,0.3,None,Oklahoma,Lincoln,Reviewed
9973,2019-01-25 04:00:54,2.1,OGS,None,36.6835,-98.19916667,7.54,0.14,0.14,0.6,None,Oklahoma,Alfalfa,Reviewed
9974,2019-01-25 05:37:28,1.9,OGS,None,34.93966667,-97.3205,3.14,0.21,0.21,0.5,None,Oklahoma,Cleveland,Reviewed
10455,2019-01-25 05:48:16,2.4,OGS,None,35.271,-97.87883333,7.0,0.21,0.21,0.5,None,Oklahoma,Grady,Reviewed
9977,2019-01-25 07:03:32,1.7,OGS,None,36.5305,-99.17466667,3.0,0.42,0.42,0.6,None,Oklahoma,Woodward,Reviewed
9978,2019-01-25 08:21:42,1.3,OGS,None,35.85166667,-97.82333333,7.89,0.28,0.28,0.8,None,Oklahoma,Kingfisher,Reviewed
